"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,";"buzzardLabel";6;"";;;
2;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
3;"G***";"Symbol-Front-Speaker";1;"LOGO";;;
4;"K1";"3.5mm_jack";1;"3.5mm_jack";;;
5;"G***";"Symbol-Front-Microphone";1;"LOGO";;;
6;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
7;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
8;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
9;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
10;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
11;"Ref**";"Version1.0.0.";1;"Val**";;;
